ID,place1_description,place1_town,place1_country,travel_time_1_min,modes_1_and_or,place_1_purpose,place2_description,place2_town,place2_country,travel_time_2_min,modes_2_and_or,place_2_purpose,place3_description,place3_town,place3_country,travel_time_3_min,modes_3_and_or,place_3_purpose,place4_description,place4_town,place4_country,travel_time_4_min,modes_4_and_or,place_4_purpose,place5_description,place5_town,place5_country,travel_time_5_min,modes_5_and_or,place_5_purpose,cleaned,all_modes,home_lon_centroids_ssecteur_7,home_lat_centroids_ssecteur_7,home_NPA,home_town,ssecteur_7,ssecteur_7_area,population_ssecteur7_2021,ssecteur_3,secteur
114531,Rue william lescaze 12	1203 geneve,Meinier,Suisse,30,MD+TIM,At work/school,Vesenaz,Genève,Suisse,10,TIM,Shops,Presinge 	Vesenaz,Genève,Suisse,5,TIM,At relatives,Meinier 	Parc des eaux-vives 	Rives gauche du lac,Genève,Suisse,10,TIM,Public space,Centre ville,Genève,Suisse,20,TIM,Public space,0,MD+TIM,6.232625941287160,46.24636886799810,1252,Meinier,2900020,564595.06635,1682.0,20,0
116245,Chêne bourg,Chambésy,Suisse,35,MD+TP+TIM,At work/school,Genève,Genève,Suisse,99999,MD+TP+TIM,At relatives,genève,Genève,Suisse,20,TIM,Shops,9999,Genève,Suisse,99999,MD,Public space,9999,Genève,Suisse,99999,TP,Collective transport,0,MD+TP+TIM,6.140429333939110,46.24073658522390,1292,Chambésy,3400019,859432.40095,912.0,19,0
114731,village de Satigny,Satigny,Suisse,3,TP,At work/school,Lutry,Genève,Suisse,70,TP+TIM,At relatives,"Satigny, Meyrin",Genève,Suisse,4,TIM,Shops,"Montagne, campagne",Genève,Suisse,120,TP+TIM,Public space,"ville de Genève, canton de Vaud",Genève,Suisse,30,MD+TP+TIM,Public space,0,MD+TP+TIM,6.035754586707760,46.21585841236470,1242,Satigny,3800100,1255009.47855,2895.0,100,0
115072,1234 Vessy,Genève,Suisse,20,TIM,At relatives,En itinérance dans le Canton de Vaud,Genève,Suisse,50,TIM,At work/school,1203 Genève	1234 Vessy	1256 Troinex	1228 Plan-les-Ouates,Genève,Suisse,15,MD+TIM,At relatives,1203 Genève,Genève,Suisse,5,MD,Public space,1203 Genève	1255 Veyrier	1227 carouge,Genève,Suisse,15,TIM,Sport,0,MD+TIM,6.133782716512050,46.207252724239200,1203,Genève,2103010,150862.05375,4638.0,10,3
113337,Vernier,Athenaz (Avusy),Suisse,45,MD+TP,At work/school,Avusy,Genève,Suisse,5,MD+TIM,At relatives,Arolla,Genève,Suisse,210,TP,Other home,Partout,Genève,Suisse,5,TP,Public space,Tpg cff,Genève,Suisse,5,MD,Collective transport,0,MD+TP+TIM,6.008097694591570,46.14528759983520,1285,Athenaz (Avusy),400050,614769.0506,571.0,50,0
117460,Ville de Genève,Genève,Suisse,25,MD+TP,At relatives,"Canton de Genève (Chancy, Dardagny, Jussy, Aire-la-Ville, Satigny, Meinier, Hermance)",Genève,Suisse,40,TP,Public space,Ville de Genève,Genève,Suisse,20,MD+TP,At relatives,Ville de Genève,Genève,Suisse,20,MD,Other,Pays de Gex,Genève,Suisse,50,TP+TIM,At relatives,0,MD+TP+TIM,6.15035036344392,46.210040038956800,1201,Genève,2104031,111846.58975,1729.0,31,4
146817,Avenue Trembley,Meyrin,Suisse,20,MD,At work/school,Ecoquartier Vergers et centre vikle GENEVE,Genève,Suisse,30,MD,Public space,Cemtre ville GENEVE,Genève,Suisse,40,MD,Public space,Canton GENEVE,Genève,Suisse,30,MD,At relatives,Meyrin,Genève,Suisse,10,MD,Shops,0,MD,6.0710515824241800,46.23294260882350,1217,Meyrin,3000130,450020.23135,4052.0,130,0
134345,Carouge,Genève,Suisse,10,MD,At work/school,Carouge,Genève,Suisse,2,TP,Public space,Carouge - Troinex,Genève,Suisse,15,MD+TP+TIM,At relatives,Carouge - Plainpalais,Genève,Suisse,2,MD,Public space,Carouge - Plainpalais - Centre-Ville,Genève,Suisse,15,MD+TP,Public space,0,MD+TP+TIM,6.139024588365110,46.195427990194600,1205,Genève,2113050,111146.07705,2587.0,50,13
115619,Chêne-Bougeries,Choulex,Suisse,15,TIM,At work/school,Choulex,Genève,Suisse,5,TP,At relatives,Choulex,Genève,Suisse,2,TIM,At relatives,Centre-ville,Genève,Suisse,20,TP+TIM,Public space,Thônex; centre-ville,Genève,Suisse,20,TP+TIM,Shops,0,MD+TP+TIM,6.225071626652760,46.22333636351080,1244,Choulex,1400040,637886.07735,755.0,40,0
129232,Charmilles,Genève,Suisse,0,TP,Other home,Rue du Rhône,Genève,Suisse,15,TP,At work/school,Charmilles,Genève,Suisse,5,TP,Other,"centre commercial Charmilles, Balexert	Rue basse 	Centre commercial Val Thoiry (France AIN)",Genève,Suisse,15,MD+TP+TIM,Shops,Poste charmilles	hôpital universitaire de Genève,Genève,Suisse,20,TP,Public services,0,MD+TP+TIM,6.121940497938340,46.20832652574610,1203,Genève,2135080,95812.302,2870.0,80,35
